HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
Lolli (Geraldine),2008,w
Phoebe vom Wandergut,2013,w
Elliot-Mogli v. Zwärgehüsli,2013,m
Aischa,2000,w
Droopy,2002,m
Cico,2011,m
Allwut,2009,w
James,2003,m
Teddy,2014,m
Oscar,2014,m
Alex,2008,m
Kira,2013,w
Vinny,2007,m
Tenten,2004,w
Manolo,2013,m
Totles,2007,w
Salva,2010,m
Pepita,2012,w
Bobby,2014,m
Tini,2000,w
Pablito,2013,m
Galina (Deni),2010,w
Pixel,2005,w
Luna,2011,w
Luna,2012,w
Truman,2006,m
Rocky,2001,m
Gigi,2009,m
Mimi,2008,w
Gin,2004,m
Trasto,2009,w
Mia,2014,w
Prosciutto,2006,m
Luna,2013,w
Aisha,2001,w
Scooby,2002,w
Beeny,2015,w
Sam (Amuk),2009,m
Ginny,2006,w
Azzy,2012,w
Bonnie,2014,w
Jack,2010,m
Hector-Amie v. Wilden Süden,2012,m
Chester,2013,m
Luna Pizzica,2008,w
Dolly,2013,w
Jamie,2010,m
Keyah,2007,m
Nooga,2009,w
Bonnie,2010,w
Cäp,2001,m
Shadow,2007,m
Charlie,2012,m
Gipsy,2013,w
Lylie,2011,w
Avery,2013,m
Venus,2011,w
Lilly,2004,w
Gemma,2010,w
Romeo,2010,m
Mailo,2010,m
Bonnie (Kremmi),2010,w
Rambo,2014,m
Basho,2005,m
Mahali,2009,w
Vlokje,2004,w
Kara,2009,w
Sirga,2014,w
Tim,2009,m
unbekannt,2014,m
Poba,2011,w
Lucky,2014,m
Falca,2006,w
Sissi,2009,w
Tom,2009,m
Lessko,2014,m
Nina,2007,w
Aiko,2007,w
Nalam,2006,w
Cookie,2006,m
Kyrill,2006,m
Luna,2002,w
Aicko,2004,m
Pepper,2015,w
Lili,2014,w
Valentin (Velcro de Socrettaz),2003,m
Lena,2013,w
Capucina,2013,w
Beny,2006,m
Niki,2008,m
Rocky,2013,m
Nikita,2012,w
Lenox,2009,m
Kira,2001,w
Millie,2008,w
Milly,2002,m
Paul,2005,m
Mops,2008,m
Egin,2002,w
Lupi,2005,w
Bino,2001,m
Quasi-Modo,2012,m
Wega,2011,w
Argo,2007,m
Baballu,2014,w
Chigi,2009,w
Dascha,2004,w
Guido of Whistle Soul,2012,m
Sunny,2013,w
Tessa,2005,w
Bro,2014,m
Eesha,2007,w
Joschi (Hanibal),2013,m
Lady,2005,w
Maira genannt Thais,2004,w
Alisha,2006,w
White Magic Pretty Jewel,2009,w
Coco Chanel,2010,w
Tala Ishani,2013,w
Branco,2014,m
Tammy,2004,w
Kaya,2002,w
Paco,2011,m
Artus,2004,m
Curly Timmy von Happy Season,2009,m
Cicco ll (Pippo),2006,m
Benny,2005,m
Cheyenne,2011,w
Bel Ami,2005,m
Basheera von Camelot,2012,w
Snoopy,2004,w
Lisa,2013,w
Charo,2007,w
Lilly,2009,w
Snoopi,2004,m
Lena,2012,w
Rocco,2006,m
Chico,2014,m
Luna,2013,w
Leeroy,2010,m
Patchuli,2004,w
Blanca,2007,w
Troy,2011,m
Lillifee,2010,w
Trojka,2003,w
Nayla,2013,w
Gino Ginnelli,2005,m
Velia,2011,w
Rocky,2001,m
Ojum (Zuzu),2008,m
Avalon,2006,m
Prince Tyson,2008,m
Chilly,2013,w
Gedeone,2014,m
Brumi,2004,m
Felice,2007,m
Charly,2011,m
Toya,2013,w
Jasper/Jimy Coo,2011,m
Quigley,2011,m
Bobona,2004,w
Gismo,2007,m
Lupo,2011,m
Kaya,2013,w
Vasco,2007,m
Jackson,2014,m
Joyce,2010,w
Lussy,2005,w
Coco,2010,w
Orella,2006,w
Maxi,2004,w
Sporting,2004,m
Blizzard,2014,m
Buebeli (Andi Benji),2004,m
Pezzy Blue,2005,w
E-IMI,2009,w
Yoko Ono,2009,w
Sira,2004,w
Falco,2011,m
Slim (Levenghyl),2011,m
Dagobert,2007,m
Pauli,2009,m
Trilu,2006,m
Rocco,2006,m
Cici,2010,m
